First_Word,Second_Word,Probability
in,but,0.0026041666666666665
but,i,0.29850746268656714
i,only,0.0039048633297834577
only,want,0.16279069767441862
to,drive,0.004418262150220913
drive,for,0.07407407407407407
for,ten,0.01636904761904762
ten,minutes,0.23652694610778444
minutes,and,0.0136986301369863
to,pay,0.011782032400589101
pay,five,0.016666666666666666
five,dollars,0.3706293706293706
dollars,what,0.005649717514124294
what,about,0.2793103448275862
the,indian,0.0053523639607493305
indian,cafe,0.00510204081632653
cafe,can,0.019867549668874173
can,you,0.3766519823788546
you,give,0.11627906976744186
give,me,0.9842931937172775
me,information,0.05686695278969957
information,about,0.5748299319727891
about,that,0.010371650821089023
that,tell,0.005050505050505051
about,pasands,0.000864304235090752
pasands,tell,0.5
about,moes,0.000864304235090752
moes,burgers,1.0
burgers,a,0.25
a,cheap,0.03595080416272469
cheap,restaurant,0.07482993197278912
restaurant,near,0.013210039630118891
near,by,0.1111111111111111
by,that,0.03125
that,serves,0.0707070707070707
serves,meat,0.043478260869565216
meat,like,0.1111111111111111
eat,pork,0.0012033694344163659
pork,or,1.0
or,beef,0.006211180124223602
beef,bacon,0.125
bacon,and,1.0
and,eggs,0.0058823529411764705
eggs,or,0.16666666666666666
or,breakfast,0.006211180124223602
breakfast,more,0.005952380952380952
more,information,0.22549019607843138
about,addison,0.000864304235090752
addison,annex,1.0
annex,3a_1_0001,0.2
3a_1_0001,yeah,1.0
yeah,id,0.5714285714285714
go,out,0.06981519507186858
out,for,0.5
for,some,0.017857142857142856
some,thai,0.07092198581560284
thai,food,0.4608294930875576
food,not,0.012779552715654952
not,too,0.10752688172043011
too,expensive,0.22388059701492538
expensive,3a_1_0002,0.006666666666666667
3a_1_0002,how,1.0
how,about,0.6150234741784038
about,six,0.005185825410544511
six,p__m,0.05128205128205128
p__m,3a_1_0003,0.1111111111111111
3a_1_0003,make,1.0
make,it,0.2894736842105263
it,walking,0.002824858757062147
walking,distance,0.7794117647058824
distance,3a_1_0004,0.005235602094240838
3a_1_0004,tell,1.0
barbecue,place,0.03125
place,3a_1_0005,0.006622516556291391
3a_1_0005,yeah,1.0
yeah,im,0.14285714285714285
im,looking,0.33933933933933935
looking,for,1.0
a,vegetarian,0.021759697256385997
vegetarian,place,0.009345794392523364
place,thats,0.046357615894039736
thats,open,0.05660377358490566
open,on,0.3037974683544304
on,wednesday,0.05714285714285714
wednesday,3a_1_0006,0.014492753623188406
3a_1_0006,ill,1.0
ill,s,0.038461538461538464
s,ill,0.2
ill,spend,0.19230769230769232
spend,a,0.057692307692307696
a,lot,0.02270577105014191
lot,of,0.8461538461538461
of,money,0.057494866529774126
money,this,0.011904761904761904
this,time,0.04310344827586207
time,3a_1_0007,0.03125
3a_1_0007,doesnt,1.0
doesnt,matter,0.8767123287671232
matter,how,0.04430379746835443
how,far,0.09859154929577464
far,3a_1_0008,0.010101010101010102
3a_1_0008,tell,1.0
the,long,0.0044603033006244425
long,life,0.4583333333333333
life,vegi,0.8461538461538461
vegi,house,0.55
house,c2_1_0001,0.027777777777777776
c2_1_0001,i,1.0
i,would,0.2630457933972311
would,like,0.89375
eat,american,0.018050541516245487
american,food,0.5859872611464968
food,or,0.003993610223642172
or,mexican,0.012422360248447204
mexican,food,0.582089552238806
food,c2_1_0002,0.0007987220447284345
c2_1_0002,i,1.0
eat,lunch,0.06377858002406739
lunch,today,0.06870229007633588
today,c2_1_0003,0.0078125
c2_1_0003,i,1.0
to,have,0.13181148748159058
have,lunch,0.08322147651006712
lunch,c2_1_0004,0.002544529262086514
c2_1_0004,i,1.0
money,so,0.011904761904761904
so,something,0.009900990099009901
something,fairly,0.010309278350515464
fairly,cheap,0.5714285714285714
cheap,would,0.02040816326530612
be,good,0.028871391076115485
good,c2_1_0005,0.0078125
c2_1_0005,i,1.0
i,wan,0.04082357117500887
wan,na,1.0
na,eat,0.1793103448275862
eat,someplace,0.0012033694344163659
someplace,thats,0.3333333333333333
thats,close,0.018867924528301886
close,to,0.5930232558139535
to,i__c__s__i,0.008100147275405008
i__c__s__i,c2_1_0006,0.005714285714285714
c2_1_0006,i,1.0
eat,italian,0.018050541516245487
italian,c2_1_0007,0.004608294930875576
c2_1_0007,i,1.0
mind,spending,0.05
spending,a,0.2857142857142857
money,but,0.011904761904761904
dont,wan,0.068
na,go,0.2206896551724138
go,someplace,0.002053388090349076
someplace,cheap,0.3333333333333333
cheap,i,0.02040816326530612
i,guess,0.003549875754348598
guess,middle,0.1
middle,range,0.045454545454545456
range,would,0.0625
good,c2_1_0008,0.0078125
c2_1_0008,i,1.0
mind,having,0.05
having,to,0.08333333333333333
drive,someplace,0.037037037037037035
someplace,doesnt,0.3333333333333333
doesnt,have,0.03424657534246575
have,to,0.03355704697986577
to,be,0.023932253313696614
be,close,0.028871391076115485
i__c__s__i,c2_1_0009,0.005714285714285714
c2_1_0009,i,1.0
i,need,0.011004614838480652
need,to,0.35135135135135137
to,find,0.01288659793814433
find,a,0.4166666666666667
a,place,0.039735099337748346
eat,for,0.0048134777376654635
for,next,0.001488095238095238
next,saturday,0.16666666666666666
saturday,c2_1_0010,0.006289308176100629
c2_1_0010,id,1.0
italian,food,0.45622119815668205
or,american,0.018633540372670808
food,either,0.003194888178913738
either,one,0.047619047619047616
one,c2_1_0011,0.008064516129032258
c2_1_0011,i,1.0
want,a,0.05110896817743491
a,restaurant,0.09744560075685904
restaurant,where,0.011889035667107
where,i,0.13609467455621302
can,get,0.024229074889867842
get,some,0.10377358490566038
some,lunch,0.01182033096926714
lunch,tomorrow,0.022900763358778626
tomorrow,c2_1_0012,0.014492753623188406
c2_1_0012,id,1.0
find,something,0.03333333333333333
something,thats,0.020618556701030927
thats,fairly,0.05660377358490566
cheap,c2_1_0013,0.006802721088435374
c2_1_0013,id,1.0
like,something,0.001963350785340314
thats,within,0.05660377358490566
within,walking,0.1623931623931624
distance,of,0.13089005235602094
of,i__c__s__i,0.028747433264887063
i__c__s__i,c2_1_0014,0.005714285714285714
c2_1_0014,is,1.0
is,there,0.13695652173913042
there,anything,0.018518518518518517
anything,cheaper,0.034482758620689655
cheaper,than,0.18181818181818182
than,that,0.005025125628140704
that,c2_1_0015,0.005050505050505051
c2_1_0015,i,1.0
a,inexpensive,0.000946073793755913
inexpensive,place,0.022727272727272728
dinner,c2_1_0016,0.002109704641350211
c2_1_0016,i,1.0
i,think,0.009229676961306355
think,i,0.4375
eat,some,0.07701564380264742
some,vegetarian,0.01182033096926714
vegetarian,food,0.3177570093457944
food,c2_1_0017,0.0007987220447284345
c2_1_0017,i,1.0
would,also,0.0025
also,in,0.05
in,addition,0.0026041666666666665
addition,to,1.0
to,vegetarian,0.0007363770250368188
vegetarian,i,0.028037383177570093
also,like,0.05
to,try,0.0066273932253313695
try,to,0.05263157894736842
to,see,0.011045655375552283
see,if,0.03529411764705882
if,i,0.3617021276595745
can,find,0.006607929515418502
find,some,0.05
some,mexican,0.0591016548463357
food,c2_1_0018,0.0007987220447284345
c2_1_0018,i,1.0
some,place,0.05200945626477541
fairly,close,0.2857142857142857
i__c__s__i,c2_1_0019,0.005714285714285714
c2_1_0019,can,1.0
me,some,0.043991416309012876
some,more,0.07092198581560284
information,on,0.3673469387755102
on,manuels,0.0031746031746031746
manuels,c2_1_0020,0.07142857142857142
c2_1_0020,i,1.0
a,really,0.004730368968779565
really,nice,0.05454545454545454
nice,place,0.07142857142857142
lunch,next,0.002544529262086514
next,wednesday,0.08333333333333333
wednesday,c2_1_0021,0.014492753623188406
c2_1_0021,i,1.0
eat,either,0.0036101083032490976
either,french,0.047619047619047616
french,food,0.3229166666666667
food,california,0.0007987220447284345
california,food,0.14814814814814814
or,italian,0.024844720496894408
food,c2_1_0022,0.0007987220447284345
c2_1_0022,i,1.0
have,a,0.13557046979865772
a,car,0.030274361400189215
so,the,0.04950495049504951
the,distance,0.042818911685994644
distance,is,0.07329842931937172
is,not,0.0391304347826087
not,important,0.02867383512544803
important,c2_1_0023,0.1
c2_1_0023,can,1.0
on,skates,0.0015873015873015873
skates,c2_1_0024,0.125
c2_1_0024,can,1.0
you,show,0.06618962432915922
show,me,0.9545454545454546
me,the,0.148068669527897
the,list,0.1320249776984835
list,of,0.359375
of,restaurants,0.07597535934291581
restaurants,again,0.03879310344827586
again,c2_1_0025,0.0064516129032258064
c2_1_0025,id,1.0
see,some,0.03529411764705882
on,augustas,0.0015873015873015873
augustas,c2_1_0026,0.16666666666666666
c2_1_0026,can,1.0
can,i,0.33480176211453744
i,see,0.010649627263045794
see,the,0.5176470588235295
the,original,0.001784121320249777
original,list,0.6666666666666666
list,again,0.26171875
again,c2_1_0027,0.0064516129032258064
c2_1_0027,please,1.0
please,tell,0.11619718309859155
about,fourth,0.001728608470181504
fourth,street,1.0
street,grill,0.18181818181818182
grill,c2_1_0028,0.125
c2_1_0028,alacarte,1.0
alacarte,addison,0.3333333333333333
annex,amaru,0.4
amaru,arinell,1.0
arinell,pizza,0.6666666666666666
pizza,augustas,0.02
augustas,c2_1_0029,0.16666666666666666
c2_1_0029,aycaramba,1.0
aycaramba,berkeley,0.08
berkeley,thai,0.07051282051282051
thai,house,0.05069124423963134
house,bettes,0.05555555555555555
bettes,ocean,0.625
ocean,view,0.5
view,blondies,0.2
blondies,pizza,0.6666666666666666
pizza,blue,0.02
blue,nile,1.0
nile,c2_1_0030,0.05555555555555555
c2_1_0030,bombay,1.0
bombay,cuisine,1.0
cuisine,brennans,0.015873015873015872
brennans,brick,0.6666666666666666
brick,hut,1.0
hut,cafe,0.6
cafe,britmaries,0.013245033112582781
britmaries,cactus,0.3333333333333333
cactus,taqueria,0.8181818181818182
taqueria,c2_1_0031,0.025
c2_1_0031,cafe,1.0
cafe,fanny,0.052980132450331126
fanny,cafe,0.25
cafe,marmara,0.052980132450331126
marmara,cafe,0.375
cafe,pastoral,0.052980132450331126
pastoral,cafe,0.25
cafe,vin,0.13245033112582782
vin,cafe,0.23809523809523808
cafe,violeta,0.026490066225165563
violeta,c2_1_0032,0.25
c2_1_0032,caffe,1.0
caffe,giovanni,0.6363636363636364
giovanni,caffe,0.08571428571428572
caffe,venezia,0.18181818181818182
venezia,cambodianas,0.0625
cambodianas,casadeeva,0.14285714285714285
casadeeva,casbah,0.3333333333333333
casbah,c2_1_0033,0.3333333333333333
c2_1_0033,chaam,1.0
chaam,chezpanisse,0.1111111111111111
chezpanisse,chezpanisse,0.0625
chezpanisse,cafe,0.16666666666666666
cafe,christophers,0.013245033112582781
christophers,cafe,1.0
cafe,claremont,0.013245033112582781
claremont,seafood,1.0
seafood,c2_1_0034,0.041666666666666664
c2_1_0034,coffee,1.0
coffee,renaissance,0.09090909090909091
renaissance,continental,1.0
continental,garden,0.625
garden,daruma,0.2857142857142857
daruma,teashop,1.0
teashop,elmwood,1.0
elmwood,pharmacy,0.8181818181818182
pharmacy,everett,0.2
barbecue,c2_1_0035,0.03125
c2_1_0035,fat,1.0
fat,slice,0.29411764705882354
slice,pizza,0.5555555555555556
pizza,fat,0.02
fat,apples,0.5882352941176471
apples,flints,0.2
barbecue,fourth,0.0625
grill,gerties,0.25
gerties,c2_1_0036,0.25
c2_1_0036,grammas,1.0
grammas,inn,1.0
inn,guerreros,0.14285714285714285
guerreros,homemade,0.125
homemade,cafe,1.0
cafe,hongfu,0.013245033112582781
hongfu,hongkong,0.4
hongkong,villa,0.7619047619047619
villa,c2_1_0037,0.0625
c2_1_0037,international,1.0
international,house,0.9
house,cafe,0.25
cafe,joshuya,0.013245033112582781
joshuya,juans,0.2222222222222222
juans,place,0.6666666666666666
place,juice,0.013245033112582781
juice,bar,0.6666666666666666
bar,collective,0.08695652173913043
collective,kips,1.0
kips,c2_1_0038,0.25
c2_1_0038,kirala,1.0
kirala,la,0.2222222222222222
la,mediterranee,0.13953488372093023
mediterranee,lavals,0.2222222222222222
lavals,lalimes,0.2
lalimes,lococos,0.16666666666666666
lococos,restaurant,0.7777777777777778
restaurant,c2_1_0039,0.001321003963011889
c2_1_0039,lillys,1.0
lillys,long,0.2
house,maharani,0.05555555555555555
maharani,manuels,0.4
manuels,marios,0.14285714285714285
marios,la,1.0
la,fiesta,0.06976744186046512
fiesta,c2_1_0040,0.3333333333333333
c2_1_0040,meal,1.0
meal,ticket,0.0875
ticket,metropole,0.2857142857142857
metropole,nadines,0.07692307692307693
nadines,omnivore,0.4
omnivore,oriental,0.5
oriental,food,0.8235294117647058
food,to,0.011980830670926517
go,c2_1_0041,0.002053388090349076
c2_1_0041,panini,1.0
panini,pasand,0.2857142857142857
pasand,madras,0.2857142857142857
madras,cuisine,1.0
cuisine,pepitos,0.031746031746031744
pepitos,mexican,1.0
mexican,deli,0.022388059701492536
deli,petrouchka,0.10526315789473684
petrouchka,picante,0.125
picante,taqueria,1.0
taqueria,c2_1_0042,0.025
c2_1_0042,plearn,1.0
plearn,thai,0.6363636363636364
thai,cuisine,0.08294930875576037
cuisine,rich,0.031746031746031744
rich,potsticker,1.0
potsticker,ristorante,0.5
ristorante,venezia,1.0
venezia,sandwiches,0.0625
sandwiches,agogo,0.3333333333333333
agogo,sauls,0.4
sauls,deli,1.0
deli,c2_1_0043,0.05263157894736842
c2_1_0043,shinshin,1.0
shinshin,siam,0.2222222222222222
siam,cuisine,1.0
cuisine,skates,0.031746031746031744
skates,soup,0.25
soup,kitchen,0.4166666666666667
kitchen,heike,0.5555555555555556
heike,spengers,0.4
spengers,c2_1_0044,0.14285714285714285
c2_1_0044,stuffed,1.0
stuffed,inn,1.0
inn,sujathas,0.14285714285714285
sujathas,sushisho,0.08
sushisho,taiwan,0.3333333333333333
taiwan,restaurant,0.75
restaurant,thai,0.002642007926023778
barbecue,c2_1_0045,0.03125
c2_1_0045,the,1.0
the,milvia,0.001784121320249777
milvia,the,0.6666666666666666
the,swallow,0.001784121320249777
swallow,top,1.0
top,dog,1.0
dog,tsingtao,0.4
tsingtao,vasiliki,1.0
vasiliki,c2_1_0046,0.14285714285714285
c2_1_0046,vegi,1.0
vegi,food,0.45
food,vietnam,0.001597444089456869
vietnam,village,0.8
village,viva,0.5
viva,taqueria,1.0
taqueria,westside,0.05
westside,bakery,1.0
bakery,c2_1_0047,0.25
c2_1_0047,won,1.0
won,thai,1.0
cuisine,yorkshire,0.031746031746031744
yorkshire,fish,1.0
fish,and,0.5555555555555556
and,chips,0.023529411764705882
chips,zacharys,0.2222222222222222
zacharys,chicago,0.2222222222222222
chicago,id,0.5
some,chinese,0.054373522458628844
chinese,food,0.5181347150259067
food,i,0.13258785942492013
eat,this,0.018050541516245487
this,afternoon,0.034482758620689655
afternoon,i,0.15789473684210525
spend,no,0.03205128205128205
no,more,0.4032258064516129
than,seven,0.007537688442211055
seven,dollars,0.35714285714285715
dollars,i,0.09745762711864407
to,travel,0.03424153166421208
travel,no,0.03361344537815126
than,three,0.01507537688442211
three,blocks,0.13043478260869565
blocks,id,0.044444444444444446
some,italian,0.07092198581560284
food,id,0.03035143769968051
eat,monday,0.0012033694344163659
monday,afternoon,0.043478260869565216
afternoon,id,0.05263157894736842
than,fifty,0.02512562814070352
fifty,dollars,0.7608695652173914
dollars,id,0.018361581920903956
than,twenty,0.17336683417085427
twenty,blocks,0.00423728813559322
blocks,when,0.022222222222222223
when,is,0.6875
is,caffe,0.010869565217391304
venezia,open,0.03125
open,during,0.012658227848101266
during,the,1.0
the,day,0.009812667261373774
day,id,0.022222222222222223
food,today,0.013578274760383386
today,and,0.03125
and,id,0.01764705882352941
than,forty,0.02512562814070352
forty,dollars,0.5
eat,mexican,0.018050541516245487
today,id,0.0703125
than,one,0.03768844221105527
one,hundred,0.12903225806451613
hundred,dollars,0.5416666666666666
restaurant,that,0.03038309114927345
that,is,0.07575757575757576
not,fast,0.010752688172043012
fast,food,0.6842105263157895
to,id,0.0003681885125184094
twenty,minutes,0.2288135593220339
minutes,where,0.003424657534246575
where,is,0.26627218934911245
is,cactus,0.002173913043478261
taqueria,located,0.025
located,please,0.16666666666666666
please,show,0.11267605633802817
show,the,0.022727272727272728
list,i,0.0234375
i,was,0.0024849130280440185
was,thinking,0.09523809523809523
thinking,about,0.5
about,going,0.000864304235090752
going,out,0.2857142857142857
some,french,0.03309692671394799
food,tonight,0.003993610223642172
tonight,how,0.024390243902439025
about,twelve,0.0025929127052722557
twelve,dollars,0.8275862068965517
dollars,a,0.018361581920903956
a,person,0.005676442762535478
person,ill,0.03333333333333333
ill,try,0.07692307692307693
so,it,0.0891089108910891
it,shouldnt,0.01977401129943503
shouldnt,matter,0.08333333333333333
matter,why,0.006329113924050633
why,dont,0.6
dont,you,0.028
you,make,0.01073345259391771
make,that,0.15789473684210525
that,up,0.005050505050505051
up,to,0.9240506329113924
to,sixteen,0.0003681885125184094
sixteen,dollars,1.0
dollars,can,0.00423728813559322
have,more,0.022818791946308724
on,metropole,0.0031746031746031746
metropole,can,0.038461538461538464
you,tell,0.13595706618962433
about,asian,0.000864304235090752
asian,food,0.6176470588235294
food,in,0.011980830670926517
berkeley,dinner,0.01282051282051282
dinner,any,0.008438818565400843
any,night,0.012315270935960592
night,im,0.021505376344086023
im,a,0.02702702702702703
a,student,0.000946073793755913
student,so,0.3333333333333333
it,had,0.005649717514124294
had,best,0.3333333333333333
best,not,0.05405405405405406
not,be,0.021505376344086023
be,better,0.007874015748031496
better,than,0.25
than,more,0.002512562814070352
more,more,0.00196078431372549
more,best,0.00196078431372549
be,more,0.015748031496062992
than,six,0.022613065326633167
six,dollars,0.48717948717948717
person,doesnt,0.03333333333333333
far,i,0.06060606060606061
na,see,0.006896551724137931
see,everything,0.011764705882352941
everything,here,0.16666666666666666
here,can,0.044444444444444446
about,oriental,0.006050129645635264
go,and,0.004106776180698152
and,vietnam,0.0029411764705882353
village,wheres,0.25
the,most,0.008920606601248885
most,expensive,0.25
expensive,russian,0.006666666666666667
russian,place,0.023255813953488372
place,in,0.026490066225165563
dinner,is,0.010548523206751054
is,best,0.002173913043478261
best,it,0.02702702702702703
it,can,0.0480225988700565
can,be,0.05506607929515418
be,anywhere,0.013123359580052493
anywhere,alacarte,0.01818181818181818
augustas,aycaramba,0.16666666666666666
nile,brennans,0.05555555555555555
taqueria,cafe,0.025
violeta,caffe,0.25
casbah,chaam,0.3333333333333333
seafood,coffee,0.041666666666666664
barbecue,fat,0.03125
gerties,grammas,0.25
villa,international,0.0625
juice,juice,0.3333333333333333
kips,kirala,0.25
restaurant,lillys,0.001321003963011889
fiesta,meal,0.3333333333333333
go,panini,0.002053388090349076
taqueria,plearn,0.025
deli,shinshin,0.05263157894736842
spengers,stuffed,0.14285714285714285
barbecue,the,0.03125
vasiliki,vegi,0.14285714285714285
bakery,won,0.25
chicago,yorkshire,0.5
chips,i,0.3333333333333333
today,i,0.1875
dinner,on,0.08649789029535865
on,sunday,0.0746031746031746
sunday,evening,0.03773584905660377
evening,money,0.015151515151515152
money,is,0.11904761904761904
is,no,0.030434782608695653
no,object,0.053763440860215055
object,since,0.1
since,i,0.3333333333333333
car,travel,0.02040816326530612
travel,distance,0.008403361344537815
important,4b_1_0001,0.1
4b_1_0001,i,1.0
some,cuban,0.004728132387706856
cuban,food,0.25
not,to,0.010752688172043012
twenty,five,0.11016949152542373
dollars,4b_1_0002,0.0014124293785310734
4b_1_0002,i,1.0
some,russian,0.016548463356973995
russian,food,0.5348837209302325
and,not,0.047058823529411764
not,spend,0.0035842293906810036
dollars,4b_1_0003,0.0014124293785310734
4b_1_0003,i,1.0
this,late,0.008620689655172414
late,afternoon,0.043478260869565216
afternoon,4b_1_0004,0.05263157894736842
4b_1_0004,i,1.0
like,not,0.0013089005235602095
travel,more,0.03361344537815126
than,a,0.017587939698492462
a,mile,0.027436140018921477
mile,away,0.037037037037037035
away,from,0.3424657534246575
from,here,0.07114624505928854
here,4b_1_0005,0.022222222222222223
4b_1_0005,i,1.0
food,4b_1_0006,0.0007987220447284345
4b_1_0006,tell,1.0
about,4b_1_0007,0.000864304235090752
4b_1_0007,tell,1.0
me,something,0.023605150214592276
something,about,0.27835051546391754
about,petrouchka,0.007778738115816767
petrouchka,i,0.0625
have,some,0.09261744966442953
some,fish,0.004728132387706856
fish,food,0.05555555555555555
food,for,0.031150159744408944
for,dinner,0.1949404761904762
and,im,0.041176470588235294
im,not,0.02702702702702703
not,really,0.0035842293906810036
really,sure,0.01818181818181818
sure,what,0.3333333333333333
what,type,0.017241379310344827
type,of,0.9433962264150944
of,restaurant,0.008213552361396304
restaurant,it,0.010568031704095112
it,should,0.211864406779661
should,be,0.7803468208092486
be,whether,0.0026246719160104987
whether,or,0.2
or,i,0.006211180124223602
eat,tonight,0.007220216606498195
tonight,at,0.0975609756097561
at,seven,0.01762114537444934
seven,oclock,0.14285714285714285
oclock,p__m,0.09090909090909091
p__m,approximately,0.1111111111111111
approximately,something,0.5
something,in,0.020618556701030927
in,the,0.18489583333333334
the,medium,0.001784121320249777
medium,range,0.3076923076923077
range,lets,0.0625
lets,say,0.05090909090909091
say,about,0.14893617021276595
about,twenty,0.015557476231633534
twenty,twenty,0.00423728813559322
person,oh,0.03333333333333333
oh,how,0.01639344262295082
far,from,0.1919191919191919
from,i__c__s__i,0.43478260869565216
i__c__s__i,somewhere,0.005714285714285714
somewhere,either,0.029411764705882353
either,in,0.047619047619047616
in,walking,0.028645833333333332
distance,or,0.010471204188481676
or,where,0.006211180124223602
can,take,0.004405286343612335
take,could,0.02564102564102564
could,you,0.4083333333333333
you,please,0.014311270125223614
please,give,0.11619718309859155
give,us,0.005235602094240838
us,some,0.3333333333333333
on,gerties,0.0015873015873015873
gerties,i,0.25
go,for,0.1375770020533881
lunch,to,0.002544529262086514
to,some,0.0011045655375552283
mexican,place,0.007462686567164179
place,well,0.006622516556291391
well,not,0.03225806451612903
not,very,0.03942652329749104
very,much,0.20967741935483872
much,something,0.011235955056179775
the,up,0.0008920606601248885
to,ten,0.011782032400589101
ten,dollar,0.041916167664670656
dollar,range,0.0975609756097561
range,actually,0.0625
actually,i,0.5
car,available,0.02040816326530612
available,now,0.09090909090909091
now,so,0.030303030303030304
so,my,0.009900990099009901
my,friend,0.08
friend,can,0.16666666666666666
take,me,0.05128205128205128
me,to,0.006437768240343348
to,anywhere,0.0007363770250368188
anywhere,within,0.03636363636363636
within,the,0.017094017094017096
the,east,0.0008920606601248885
east,bay,0.14285714285714285
bay,area,0.8
area,i,0.12121212121212122
i,havent,0.0007099751508697196
havent,yet,0.5
yet,tried,0.5
tried,cactus,1.0
taqueria,so,0.025
so,could,0.009900990099009901
some,additional,0.002364066193853428
additional,information,0.9565217391304348
on,it,0.0031746031746031746
it,thank,0.002824858757062147
thank,you,1.0
you,for,0.0035778175313059034
for,this,0.01636904761904762
this,information,0.008620689655172414
information,but,0.003401360544217687
but,could,0.014925373134328358
me,if,0.003218884120171674
if,they,0.06382978723404255
they,serve,0.3728813559322034
serve,alcohol,0.037037037037037035
alcohol,or,0.3333333333333333
or,not,0.012422360248447204
not,could,0.0035842293906810036
could,i,0.125
i,please,0.0003549875754348598
please,see,0.0035211267605633804
see,a,0.09411764705882353
a,list,0.039735099337748346
of,mexican,0.008213552361396304
mexican,restaurants,0.14925373134328357
restaurants,that,0.07112068965517242
that,i,0.10606060606060606
i,asked,0.0014199503017394391
asked,for,1.0
for,before,0.001488095238095238
before,could,0.14285714285714285
you,possibly,0.0017889087656529517
possibly,recommend,1.0
recommend,any,0.125
any,place,0.034482758620689655
place,yourself,0.006622516556291391
yourself,thank,1.0
you,very,0.01073345259391771
much,and,0.011235955056179775
and,goodbye,0.0029411764705882353
goodbye,a6_1_0001,0.2
a6_1_0001,im,1.0
expensive,and,0.03333333333333333
and,is,0.0058823529411764705
is,on,0.002173913043478261
on,south,0.0015873015873015873
south,side,0.058823529411764705
side,a6_1_0002,0.125
a6_1_0002,for,1.0
on,the,0.08095238095238096
the,weekends,0.0044603033006244425
weekends,that,0.1111111111111111
that,doesnt,0.025252525252525252
doesnt,require,0.00684931506849315
require,reservations,0.5
